Word,Language,IPA,English Translation
prendere per il culo,it,prendere per il kulo,take the piss
a pecorina,it,a pekorina,doggy-style
baldracca,it,baldrakːa,whore
porca madonna,it,porka madonːa,holy mother of God
che due palle,it,ke due palːe,what a pair of balls
intro culo di mammata,it,intro kulo di mamːata,intro mama's ass
sembri un peni,it,sembri un peni,you look like a penis
che due coglioni,it,ke due koʎoni,what two assholes
pezzo di merda,it,pet͡so di merda,piece of shit
fica,it,fika,cunt
va’ a fare in culo,it,va’ a fare in kulo,go fuck yourself
puttanaio,it,putːanaio,whorehouse
tua mamma bocchinara,it,tua mamːa bokːinara,your mouthy mom
ma’ va te ne a fanculo,it,ma’ va te ne a fankulo,ma go fuck yourself
scoregge,it,ʃored͡ʒːe,farts
faccia a culo,it,fat͡ʃːa a kulo,assface
cazzo si,it,kat͡so si,fuck yeah
sfigati,it,sfiɡati,losers
ditalino,it,ditalino,fingering
inculare,it,inkulare,bugger
porco cane,it,porko kane,swine
stronzo,it,stronso,asshole
fare una sega,it,fare una seɡa,jerk off
va fangool,it,va fanɡool,va fangool
zoccole,it,sokːole,sluts
avere un culo così grande,it,avere un kulo kosi ɡrande,having such a big ass
vai a farti fottere,it,vai a farti fotːere,go fuck yourself
mignotte,it,miɲotːe,hookers
mangia merda,it,mand͡ʒa merda,eat shit
ce l’hai piccolo,it,t͡ʃe l’ai pikːolo,you have it small
mortacci tua,it,mortat͡ʃːi tua,goddamn you
mezza sega,it,met͡sa seɡa,half saw
coglioni,it,koʎoni,assholes
fatti una pugnetta,it,fatːi una puɲetːa,take a piss
bafangu chooch,it,bafanɡu kook,bafangu chooch
vai a cacare,it,vai a kakare,go shit
stronza,it,stronsa,bitch
coglione,it,koʎone,asshole
posso leccare il tua figa,it,posːo lekːare il tua fiɡa,I can lick your pussy
vai all’inferno,it,vai alː’inferno,go to hell
stronzi,it,stronsi,assholes
testa di minchia,it,testa di minkia,shithead
bocchino,it,bokːino,mouthpiece
manache,it,manake,manache
segarsi,it,seɡarsi,sawing off
culattone,it,kulatːone,fat ass
vaffanculo,it,vafːankulo,fuck you
andare a puttane,it,andare a putːane,whore oneself
culo,it,kulo,ass
sti cazza,it,sti kat͡sa,sti cazza
bacha ma culo,it,baka ma kulo,bacha ma ass
cacare,it,kakare,shit
essere un culo,it,esːere un kulo,be an ass
minchia,it,minkia,minchia
dio cane!,it,dio kane!,GOD DOG!
figa,it,fiɡa,pussy
sfigato,it,sfiɡato,loser
un pompino,it,un pompino,a blowjob
leccami il culo,it,lekːami il kulo,lick my ass
cacata,it,kakata,shit
troia,it,troia,slut
figlio di puttana,it,fiʎo di putːana,son of a bitch
porca vacca,it,porka vakːa,holy cow
pompini,it,pompini,blowjobs
leccaculo,it,lekːakulo,ass-licker
figlio di Troia,it,fiʎo di troia,son of Troy
gnocca,it,ɲokːa,pussy
latrin!,it,latrin!,latrin!
porca miseria ,it,porka miseria,holy crap
che ti morisse  la mamma,it,ke ti morisːe  la mamːa,That your mother would die
minchia!,it,minkia!,minchia!
sputtanare,it,sputːanare,fuck up
che due palle,it,ke due palːe,what a pair of balls
zuia,it,suia,zuia
frocio,it,frot͡ʃo,faggot
sborro,it,zborːo,holy fucking mother of christ
santo cazzo madre di cristo,it,santo kat͡so madre di kristo,cabbage
cavolo,it,kavolo,whore
mignotta,it,miɲotːa,swine
porco giuda,it,porko d͡ʒuda,piss off
vai a cagare,it,vai a kaɡare,bullshit
cazzata,it,kat͡sata,shit
merda,it,merda,darn
mannaggia,it,manːad͡ʒːa,blowjob
pompinara,it,pompinara,sluts
troie,it,troie,assholes
i coglioni,it,i koʎoni,fennel
finocchio,it,finokːio,shit
cagare,it,kaɡare,sburro
sburro,it,zburːo,minchiata
minchiata,it,minkiata,shit
smerdare,it,zmerdare,bitchiness
puttanata,it,putːanata,mona
mona,it,mona,fava
fava,it,fava,ir gut of tu ma
ir budello di tu ma’,it,ir budelːo di tu ma’,doggy-style
alla pecorina,it,alːa pekorina,ricchioni
ricchioni,it,rikːioni,pussies
fighe,it,fiɡe,lick my pussy
leccami la figa,it,lekːami la fiɡa,dick in the ass
cazzo in culo,it,kat͡so in kulo,what an ass
che culo,it,ke kulo,I'll run your ass
ti corro in culo,it,ti korːo in kulo,pump
pompinare,it,pompinare,go fuck yourself
va' a fare in culo,it,va' a fare in kulo,holy shit
porca puttana,it,porka putːana,to fanabla!
a fanabla!,it,a fanabla!,screw you
fottiti,it,fotːiti,baloney
baldracche,it,baldrakːe,minchione
minchione,it,minkione,ce un cibirut
ce un cibirut,it,t͡ʃe un t͡ʃibirut,to hell with it
