Word,English Translation
कुत्ते की औलाद,Dog Leash
कुत्ते की ज़ात,Dogs
सूअर की औलाद,Swine auction
सूअर की ज़ात,pork grounds
गधे की औलाद,The Apostle of the Dwarf
गधे की ज़ात,Dwarfs
बंदर की औलाद,Monkey
बंदर की ज़ात,Monkey
भैंस की औलाद,Buffalo
भैंस की ज़ात,About Buffalo
उल्लू की औलाद,Owl's Alasad
उल्लू की ज़ात,Owl
लोमड़ी की औलाद,Lomdi's Auction
लोमड़ी की ज़ात,Lumde Zat
भेड़ की औलाद,Sheep
भेड़ की ज़ात,Sheep
बकरी की औलाद,Goat Aulada
बकरी की ज़ात,Goat
बिल्ली की औलाद,cat auction
बिल्ली की ज़ात,Cat Zat
मेंढक की औलाद,Aurora of frogs
मेंढक की ज़ात,The Land of the Forest
बदीर,Binder
बदीरचंद,Сountry
बकलैंड,Bakland
बकलंड,Buckle
भंडवा,Сountry
भड़वा,Home
चिनाल,Chinal
छनाल,Tease
चूतिया,Katya
चुतिया,Katya
घसटी,SEARCH
घसति,Home
घसड़,Сountry
घस्सड़,Horse
हरामी,Green
हरामज़ादा,Haremazada
हरामजादा,Greenland
हिजड़ा,Hedgehog
हिजड़ा,Hedgehog
टट्टी,Kitty
चोद,Cheats
 लंड,Lemon
 लोडे,Load
 टक्के,Boxing
छक्का,Negotiable
हिजड़ा,Hedgehog
टट्टे,Pony
रांड ,Randy
रंढवा,Сountry
जिगोलो,Girgo
रंडी,Randy
लंड,Lemon
चूत,Suck
बंड,Bound
गांडू,Gondu
गांडी,English
भोसड़ी वाला,Busty
भोंसड़ी वाला,Busty
भोसरी वाला,Bassery
बूबले,BOOBLE
चुची,Cheats
चूचे,Violence
चूचियां,Bangles
चूत मार के,Banging
लंड मार के,Spanking
गांड मारी के,Married
चोदू,Chotamil
लौड़ा,Wardrobe
लौंडा,Lagoda
लोडा,Loaded
लंड,Lemon
मुठ मारना,Momenting
मुठी,Mystery
मुठल,Muddle
बाबले,Babley
बुर,Burger
चोदना,Sex
चुदना,tight
चुद,tight
बूबले,BOOBLE
चोदू,Chotamil
भड़वा,Home
भड़वे,Home
भड़वों,Perverts
भड़वी,Wife
भड़वापंती,Home
चोदेला,Chodela
मारना,Hit
मारनी,Marry
मारने,Killing
गांडफटू,Gadget
गांडफटी,Gadgets
गांडफटा,Сountry
गांडफटों,Gadgets
गांडमस्ती,English
गांड मारना,Singinging
गांड मारू,Scandals
गांड मारी,Marathi
गांड माराना,Singer
झाँट,Skirt
गांड फटू,Scandals
गांड फटी,Gand Fatigue
गांड फटा,Gadget Cracked
गांड फटों,Gand Bursts
गांड मस्ती,Gadget
गांडमरना,English
गांडमरू,Gadget
गांडमराना,English
गांडमारी,Gadgets
रंडीबाज़ार,Randybazar
चोदो,Chota
चोदी,chennai
चोदने,Sex
चोदवा,Chodow
चुदो,Wishes
चुदी,Funny
चुदने,tights
चुदवा,Сountry
चोदाई,Cholera
चुदा,Suggestion
चुदाई,Suggestion
चुदवाना,Witness
हरामी,Green
हरामिया,Green
हरामज़ादा,Haremazada
हरामज़ादी,Harmony
हरामख़ोर,Harmony
कमीना,Decreasing
कमीनी,Missing
भोसड़ी,Beaux
भोसड़ीके,Сountry
भंडवा,Сountry
भंडी,Blessing
भड़वा,Home
भड़वी,Wife
रांड,Randy
रांडवा,Randwa
रांडिबाजार,Randybazar
हिजड़ा,Hedgehog
हिजरा,Hedgehog
हिजड़े,Hedgehog
छक्का,Negotiable
गांडू,Gondu
गंडू,Gondu
लवड़ा,Lover
लौड़ा,Wardrobe
लोडा,Loaded
लंड,Lemon
लंडवा,LANDWA
चूत,Suck
चूतिया,Katya
चूतमार,titmar
चूतियापा,Katyapa
