Word,English Translation
hıyar,Cucumber
siktir orospu çocuğu,"Fuck you, motherfucker."
taşak,balls
aptal,Stupid
abaza,abaza
kaşar,Kashkaval
onbeş,fifteen
denyo,Douchebag
götüne koyarım,I'll fuck you in the ass
götünü sikerim,I'll fuck your ass
31 çekelim,Let's jerk off
lavuk,asshole
amına koyarım,Fuck you.
sıçtık,We're fucked
ezik,loser
götten bacaklı,ass-legged
sikindirik,SICKNESS
yavşak,asshole
hiçbir lanet yolu,no fucking way
şapka,hat
amına koğumun piçi,fucking bastard.
sıçarım babanın şarap çanağına,I'll shit in your father's wine bowl
ecdadını sikeyim,fuck your ancestors
film,movie
sikim sokum,Fuck me
sikimtronik,sikimtronik
sikitr,sikitr
orospu,bitch
yarrak,cock
abazan,abazan
siktir,Shit!
manda,buffalo
götveren,asshole
pislik,asshole
şıllık,bitch
frikik,frikikik
siçan,SICAN
sıçarım gözlük camına dünyayı bombok görürsün,"I'll shit in your glasses, you'll see the world as shit."
zibidi,zibidi
eline vermek,to give into your hand
feriştahını sikeyim,fuck your fuckin' ass
puşt,asshole
siktir git,Fuck off
götüne koyayım,Fuck you in the ass
hasiktir,Holy shit
sığır,cattle
hayvan,animal
kaltak,Bitch
yarrak kafa,cock head
salak,Idiot
tek kürek yalova yapmak,single shovel make yalova
amsalak,amsalak
götünden kan alırım,I'll bleed out your ass
ver,give
sikik,Fucker
yelloz,yelloz
sikmek,fuck
sıçışlardayız,we're in the shits
orospu çocuğu,son of a bitch
ejderha,dragon
amına koyayım,Fuck you.
am budalası,pussy idiot
ciğerini sikeyim,Fuck your liver
bok ye,eat shit
amcık ağızlı,cunt mouth
motor,motor
kavat,kavat
amını sikerim,I'll fuck your pussy
beş,five
kicimi op,op my ass
böluk,böluk
amcık hoşafı,cunt treats
köylü,villager
nataşa,natasha
ağzına sıçarım,I'll fuck you up
embesil,imbecile
ısır beni,Bite me
kıç,ass
kevaşe,skank
sikimsonik,cycimsonic
canın cehenneme,Fuck you
açık kapı,open door
yarrağımın antifrizi,antifreeze for my cock
mal,goods
yarrağımı,my cock
yosma,Yosma
göte geldin,you came in the ass
sikimtırak,Fucktard
dalga,wave
yarrağımı ye,eat my cock
amcik,cunt
aşüfte,hussy
ananı avradını sikeyim,Fuck your motherfucker.
yarrağımın kurma kolu,the crown of my cock
bok,Shit
ciğersiz pezevenk,you pimp without a liver
dümbük,dumbass
pezevenk,Pimp
eşekoğlueşek,donkey son of donkey
seni sikerim,fuck you
apaçi,Apache
siktirici,fucker
hödük,boor
at hırsızı,horse thief
amını sikeyim,Fuck your pussy
götübozuk,asshole
götünü sikeyim,Fuck your ass
yarrak ağızlı,cock mouth
anasını avradını siktiğimin orospu çocuğu,motherfucking son of a bitch
amına koyim,Fuck you.
ibne,Faggot
yedi ceddini siktiğimin oğlu,you fucking son of a bitch
gerzek,idiot
sülaleni sikeyim,fuck your ancestors
göt siken,ass fucker
sik,fuck
zübük,Zubük
top,top
ağzına sıçayım,fuck you
hırt,Hysterical
piç,Bastard
çekirge götü,grasshopper ass
yarak,cock
amına koyduğumun çocuğu,motherfucker.
yarak kürek,cock shovel
ananı sikerim,fuck your mother
amcık,cunt
fallik,phallic
sürtük,slut
fahişe,prostitute
dalyarak,dalyarak
aşk meleği,angel of love
yarrağı yedin,You're fucked
yordamını sikeyim,fuck your procedure
dalağını sikerim,fuck your spleen
göt lalesi,ass tulip
sik kafalı,dickhead
budala,foolish
ananı bacını sikeyim,fuck your mother and your sister
siki tuttun,you're fucked
göt,ass
göt veren,ass giver
deyyus,idiot
yarrağı,his cock
gerizekalı,Idiot
dürzü,dür dürzü
sikimde değil,I don't give a fuck
allah kahretsin,God damn it
amına kodumun piçi,you fucking bastard.
sırık,pole
öküz,ox
milli olmak,being national
sikko,sikko
dangalak,douchebag
eşek,donkey
ebesini siktiğimin göt lalesi,you fucking asshole tulip
sıçarım böyle işe,Fuck this shit.
ağzını yüzünü siktiğimin pezevengi,You're a fucking pimp.
gelmişini geçmişini sikeyim,"Fuck you, fuck you, fuck you."
amını götünden sikerim,I'll fuck your cunt in the ass.
